id,Period Number,Name,Symbol,Atomic Number,Atomic Weight,Melting Point,Boiling Point,Density,Phase at Room Temperature,Atom Classification,Group,Uses,Group,Period
78,6,Platinum,Pt,78,195.084,3215.1,6917,21.46,Solid,Metal,Transition Metals,"Labware, Spark Plugs, Pollution Control",10,6
79,6,Gold,Au,79,196.966569,1947.52,5173,19.282,Solid,Metal,Transition Metals,"Jewerly, Coins",11,6
80,6,Mercury,Hg,80,200.592,-37.89,674.11,13.5336,Liquid,Metal,Transition Metals,"Thermometers, Dentistry, Street Lamps",12,6
81,6,Thallium,Tl,81,204.3833,579,2683,11.8,Solid,Metal,Poor Metals,Thermometers,13,6
82,6,Lead,Pb,82,207.2,621.43,3180,11.342,Solid,Metal,Poor Metals,"Lead, Batteriesm Bullets",14,6
83,6,Bismuth,Bi,83,208.9804,520.52,2847,9.807,Solid,Metal,Poor Metals,"Fire Sprinklers, Fuses",15,6
84,6,Polonium,Po,84,209,489,1764,9.31,Solid,Metal,Poor Metals,Tobacco,16,6
85,6,Astatine,At,85,210,576,Unknown,7,Solid,Semi-metal,Halogens,Cancer Medicine,17,6
86,6,Radon,Rn,86,222,-96,-79.1,0.00973,Gas,Non-metal,Noble Gas,Cancer Medicine,18,6
87,7,Francium,Fr,87,223,81,Unknown,Unknown,Solid,Metal,Alkali Metals,Laser Atom Traps,1,7
88,7,Radium,Ra,88,226,1292,2084,5,Solid,Metal,Alkali Earth Metals,Luminous Watches,2,7
89,7,Actinium,Ac,89,227,1924,5788,10.07,Solid,Metal,Actinide Metals,Cancer Medicine,0,0
90,7,Thorium,Th,90,232.0377,3182,8650,11.72,Solid,Metal,Actinide Metals,"Gas Lamps, Nuclear Fuel",0,0 
91,7,Protactinium,Pa,91,231.03588,2862,Unknown,15.37,Solid,Metal,Actinide Metals,Radioactive Waste,0,0 
92,7,Uranium,U,92,238.02891,2075,7468,18.95,Solid,Metal,Actinide Metals,"Nuclear Fuel, Nuclear Weapons",0,0 
93,7,Neptunium,Np,93,237,1191,7065,20.25,Solid,Metal,Actinide Metals,Radioactive Waste,0,0 
94,7,Plutonium,Pu,94,244,1184,5842,19.84,Solid,Metal,Actinide Metals,Nuclear Weapons,0,0 
95,7,Americium,Am,95,243,2149,3652,13.79,Solid,Metal,Actinide Metals,Smoke Detectors,0,0 
96,7,Curium,Cm,96,247,2453,5600,13.51,Solid,Metal,Actinide Metals,Scientific Instruments,0,0 
97,7,Berkelium,Bk,97,247,1922,Unknown,14,Solid,Metal,Actinide Metals,Radioactive Waste,0,0 
98,7,Californium,Cf,98,251,1652,Unknown,Unknown,Solid,Metal,Actinide Metals,Scientific Instruments,0,0 
99,7,Einsteinium,Es,99,252,1580,Unknown,Unknown,Solid,Metal,Actinide Metals,Radioactive and Never Found in Nature,0,0 
100,7,Fermium,Fm,100,257,2781,Unknown,Unknown,Solid,Metal,Actinide Metals,Radioactive and Never Found in Nature,0,0 
101,7,Mendelevium,Md,101,258,1521,Unknown,Unknown,Solid,Metal,Actinide Metals,Radioactive and Never Found in Nature,0,0 
102,7,Nobelium,No,102,259,1520,Unknown,Unknown,Solid,Metal,Actinide Metals,Radioactive and Never Found in Nature,0,0 
103,7,Lawrencium,Lr,103,262,2961,Unknown,Unknown,Solid,Metal,Actinide Metals,Radioactive and Never Found in Nature,0,0 
104,7,Rutherfordium,Rf,104,263,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,4,7
105,7,Dubnium,Db,105,268,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,5, 7
106,7,Seaborgium,Sg,106,271,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,6,7
107,7,Bogrium,Bh,107,270,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,7,7
108,7,Hassium,Hs,108,270,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,8,7
109,7,Meitnerium,Mt,109,278,Unknown,Unknown,Unknown,Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,9,7
110,7,Darmstadtium,Ds,110,281,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,10,7
111,7,Roentgenium,Rg,111,281,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,11,7
112,7,Copernicium,Cn,112,285,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,12,7
113,7,Nihonium,Nh,113,286,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,13,7
114,7,Flerovium,Fl,114,289,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,14,7
115,7,Moscovium,Mc,115,289,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,15,7
116,7,Livermorium,Lv,116,293,Unknown,Unknown,Unknown,Expected to be Solid,Metal,Superheavy Elements,Radioactive and Never Found in Nature,16,7
117,7,Tennessine,Ts,117,294,Unknown,Unknown,Unknown,Expected to be Solid,Unknown,Superheavy Elements,Radioactive and Never Found in Nature,17,7
118,7,Oganesson,Og,118,294,Unknown,Unknown,Unknown,Expected to be Solid,Non-metal,Superheavy Elements,Radioactive and Never Found in Nature,18,7
